TimeStamp,อุณหภูมิ_c,อุณหภูมิดิน_c,ความชื้น_เปอร์เซ็นต์,ความชื้นดิน_เปอร์เซ็นต์,แรงดัน_hPa,ความเข้มแสง_lux,ลูกลอย,PH,ความเค็ม_เปอร์เซ็นต์,ไนโตรเจน_เปอร์เซ็นต์,ฟอสฟอรัส_เปอร์เซ็นต์,โพแทสเซียม_เปอร์เซ็นต์,ความเร็วลม_กิโลเมตรต่อชั่วโมง
2025-01-22 19:31:00,37.0,32.0,50.0,89.0,1035.0,586,0,7.0,300.0,292.0,262.0,233.0,14.0
2025-01-22 19:32:00,35.2,30.8,51.0,67.2,1034.9,586,0,6.4,280.0,198.7,198.7,176.7,14.0
2025-02-05 17:10:00,33.2,29.6,52.0,45.7,1034.4,6466,1,5.8,260.0,104.7,134.7,119.7,0.0
2025-02-05 17:16:00,31.3,28.3,52.3,24.1,1033.3,5690,1,5.2,240.0,10.7,70.7,62.7,0.0
2025-02-05 17:19:00,31.1,28.3,52.4,23.9,1031.5,5440,1,5.2,240.0,10.0,69.3,62.0,0.0
2025-02-05 17:25:00,31.0,28.2,52.5,24.0,1028.9,4856,1,5.2,233.3,10.0,68.7,61.3,0.0
2025-02-05 17:34:00,30.8,28.2,53.2,24.1,1025.8,3796,1,5.2,226.7,10.0,68.0,60.7,0.0
2025-02-05 17:35:00,30.7,28.2,51.6,16.4,1021.9,3796,1,5.2,220.0,10.0,68.0,60.0,0.0
2025-06-14 15:40:00,30.7,28.2,49.8,8.2,1017.5,54612,1,5.2,220.0,10.0,68.0,60.0,0.0
2025-06-14 18:36:00,32.0,29.1,52.7,0.0,1012.4,54612,1,5.0,146.7,6.7,45.3,40.0,0.0
2025-06-21 10:32:00,33.3,30.1,57.5,0.0,1006.8,366,1,6.3,73.3,3.3,22.7,20.0,0.0
2025-06-21 11:41:00,34.7,31.4,61.3,0.0,1000.6,54612,0,7.5,0.0,0.0,0.0,0.0,0.9
2025-06-21 11:51:00,35.1,32.3,60.1,0.0,993.9,123,0,8.4,0.0,0.0,0.0,0.0,0.0
2025-06-21 12:31:00,35.5,33.1,58.7,0.0,986.7,620,0,8.0,0.0,0.0,0.0,0.0,0.0
2025-06-21 12:32:00,35.8,33.8,58.8,0.0,979.0,620,0,7.5,0.0,0.0,0.0,0.0,0.0
2025-06-21 12:55:00,35.2,33.4,60.9,0.0,970.9,1393,0,7.5,0.0,0.0,0.0,0.0,0.0
2025-06-21 13:55:00,33.6,32.1,69.1,6.9,962.3,430,0,6.7,59.0,0.0,14.0,11.3,0.0
2025-06-21 14:24:00,30.7,30.5,79.4,14.1,953.3,283,0,6.0,115.3,0.0,26.7,21.3,0.0
2025-06-21 15:24:00,29.2,29.3,87.3,21.3,943.9,213,0,5.2,171.3,0.0,39.3,31.3,0.0
2025-06-21 16:24:00,28.2,28.9,88.5,21.5,934.1,426,0,5.2,168.0,0.0,37.7,29.7,0.0
2025-06-21 17:24:00,28.6,28.7,87.6,21.8,924.0,36,0,5.3,167.3,0.0,37.3,29.3,0.0
2025-06-21 18:24:00,28.2,28.5,87.4,22.4,913.5,40,0,5.4,167.0,0.0,37.0,29.0,0.0
2025-06-21 19:24:00,27.9,28.3,89.2,22.4,902.8,0,0,5.6,166.7,0.0,37.0,29.0,0.0
2025-06-21 20:24:00,27.5,28.2,91.0,22.1,891.8,0,0,5.7,166.3,0.0,37.0,29.0,0.0
2025-06-21 21:24:00,27.1,28.1,93.5,21.9,880.5,0,0,5.7,166.0,0.0,37.0,29.0,0.0
2025-06-21 22:24:00,27.0,28.0,94.5,22.5,869.0,0,0,5.7,166.0,0.0,37.0,29.0,0.0
2025-06-21 22:24:00,27.0,28.0,95.6,22.5,857.3,0,0,5.7,166.0,0.0,37.0,29.0,0.0
2025-06-21 23:24:00,27.2,27.9,93.1,22.1,845.4,0,0,5.7,166.0,0.0,37.0,29.0,0.0
2025-06-22 00:24:00,27.3,27.9,91.0,22.1,833.4,0,0,5.7,165.7,0.0,36.7,29.0,0.0
2025-06-22 01:24:00,27.4,27.8,87.6,22.0,821.2,0,0,5.7,165.3,0.0,36.3,29.0,0.0
2025-06-22 02:24:00,27.1,27.7,87.6,22.0,808.9,0,0,5.7,165.0,0.0,36.0,29.0,0.0
2025-06-22 03:24:00,26.9,27.6,87.4,21.6,796.5,0,0,5.7,165.0,0.0,36.0,29.0,0.0
2025-06-22 04:24:00,26.7,27.5,88.2,21.7,784.0,0,0,5.7,165.0,0.0,36.0,29.0,0.0
2025-06-22 04:24:00,26.5,27.5,88.4,21.7,771.5,0,0,5.7,165.0,0.0,36.0,29.0,0.0
2025-06-22 05:24:00,26.4,27.4,88.8,21.7,758.9,0,0,5.7,164.7,0.0,36.0,28.7,0.0
2025-06-22 06:24:00,26.2,27.4,89.3,21.6,746.4,76,0,5.7,164.3,0.0,36.0,28.3,0.0
2025-06-22 06:24:00,26.7,27.4,88.6,21.4,733.9,76,0,5.7,164.0,0.0,36.0,28.0,0.0
2025-06-22 07:24:00,28.0,27.4,84.9,21.6,721.4,310,0,5.7,164.3,0.0,36.0,28.3,0.0
2025-06-22 08:24:00,29.2,27.4,81.2,21.9,709.0,576,0,5.7,164.7,0.0,36.0,28.7,0.0
2025-06-22 08:24:00,30.7,27.6,78.0,22.3,696.7,576,0,5.7,165.0,0.0,36.0,29.0,0.0
2025-06-22 09:24:00,32.6,27.8,72.7,22.5,684.5,5053,0,5.8,165.3,0.0,36.3,29.0,0.0
2025-06-22 11:24:00,34.7,28.2,65.0,22.2,672.5,2606,0,5.8,165.7,0.0,36.7,29.0,0.0
2025-06-22 12:24:00,34.8,28.6,62.7,22.2,660.6,1183,0,5.9,165.7,0.0,36.7,29.0,0.0
2025-06-22 13:24:00,34.0,28.8,65.6,21.6,648.9,466,0,5.9,165.0,0.0,36.3,28.7,0.0
2025-06-22 14:24:00,32.7,29.0,69.6,21.5,637.4,690,0,5.9,164.3,0.0,36.0,28.3,0.0
2025-06-22 15:24:00,32.0,28.9,71.6,21.1,626.1,573,0,5.9,163.3,0.0,35.7,27.7,0.0
2025-06-22 16:24:00,31.1,28.8,73.0,21.5,615.1,310,0,5.9,162.7,0.0,35.3,27.3,0.0
2025-06-22 17:24:00,29.9,28.5,76.5,21.6,604.4,213,0,5.9,161.3,0.0,34.7,26.7,0.0
2025-06-22 18:24:00,29.1,28.3,79.3,22.1,593.9,23,0,5.9,160.3,0.0,34.0,26.3,0.1
2025-06-22 19:24:00,28.1,28.0,82.6,22.3,583.8,0,0,5.9,159.3,0.0,33.3,26.0,0.0
