TimeStamp,อุณหภูมิ_c,อุณหภูมิดิน_c,ความชื้น_เปอร์เซ็นต์,ความชื้นดิน_เปอร์เซ็นต์,แรงดัน_hPa,ความเข้มแสง_lux,ลูกลอย,PH,ความเค็ม_เปอร์เซ็นต์,ไนโตรเจน_เปอร์เซ็นต์,ฟอสฟอรัส_เปอร์เซ็นต์,โพแทสเซียม_เปอร์เซ็นต์,ความเร็วลม_กิโลเมตรต่อชั่วโมง
2024-12-20 10:12:00,28.6,28.3,50.4,20.9,1035.0,3786,1,3.1,31.0,96.0,1.0,25.0,0.0
2024-12-20 14:31:00,28.7,28.5,51.2,22.0,1035.0,1012,6236,3.1,20.7,128.0,1.3,33.3,42.0
2024-12-20 14:34:00,29.0,28.7,50.4,24.0,1035.0,1012,6366,3.3,0.0,191.3,2.0,49.3,42.0
2024-12-20 15:34:00,28.6,29.0,51.5,24.0,1035.0,1012,7440,3.4,0.0,190.0,1.3,48.7,41.0
2024-12-20 16:34:00,27.7,29.3,54.0,23.9,1035.0,1012,4146,3.6,0.0,188.0,0.7,47.3,40.0
2024-12-20 17:34:00,25.8,29.5,59.6,23.7,1035.0,1012,1180,3.7,0.0,186.7,0.0,46.7,39.0
2024-12-20 18:34:00,23.7,29.7,67.9,23.4,1035.0,1013,0,3.9,0.0,185.3,0.0,46.0,38.0
2024-12-20 19:34:00,21.8,29.9,76.7,23.1,1035.0,1014,0,4.0,0.0,184.0,0.0,46.0,37.0
2024-12-20 20:34:00,20.7,30.2,83.5,22.8,1035.0,1014,0,4.1,0.0,182.7,0.0,45.3,37.0
2024-12-20 21:34:00,23.7,30.4,73.9,22.8,1035.0,1015,0,4.3,0.0,253.3,14.7,79.3,36.0
2025-01-24 11:45:00,27.1,30.5,62.8,22.8,1035.0,1012,6483,4.4,0.0,324.7,29.3,113.3,141.0
2025-01-24 11:48:00,30.4,30.7,50.6,22.9,1035.0,1012,7443,4.6,0.0,396.0,44.0,148.0,141.0
2025-01-24 11:50:00,30.4,30.9,52.4,23.6,1035.0,1012,6920,4.7,0.0,265.3,29.3,98.7,140.0
2025-01-24 11:56:00,30.6,31.0,52.5,24.1,1035.0,1012,19940,4.9,0.0,182.0,14.7,58.7,0.0
2025-01-24 11:58:00,31.1,31.2,52.5,24.6,1035.0,1012,20966,5.1,0.0,99.3,0.0,18.7,19.0
2025-01-24 12:03:00,31.3,31.3,52.7,24.7,1035.0,1012,19480,5.3,0.0,148.0,0.0,28.7,20.0
2025-01-24 13:03:00,31.9,31.4,49.6,25.1,1035.0,1011,11873,5.5,0.0,149.3,0.0,29.3,21.0
2025-01-24 14:03:00,31.9,31.5,48.3,25.7,1035.0,1010,18443,5.7,0.0,150.7,0.0,30.0,21.0
2025-01-24 15:03:00,32.1,31.6,45.5,26.0,1035.0,1009,6450,5.9,0.0,151.3,0.0,30.0,22.0
2025-01-24 16:03:00,30.9,31.7,51.1,26.2,1035.0,1009,6920,6.1,0.0,152.0,0.0,30.0,22.0
2025-01-24 17:03:00,29.8,31.8,52.8,26.2,1035.0,1009,3146,6.3,0.0,152.0,0.0,30.0,22.0
2025-01-24 18:03:00,26.7,31.9,64.6,25.9,1035.0,1010,376,6.5,0.0,152.0,0.0,30.0,22.0
2025-01-24 20:03:00,24.0,31.9,73.2,25.4,1035.0,1011,0,6.6,0.0,152.0,0.0,30.0,22.0
2025-01-24 21:03:00,21.4,31.9,85.8,24.9,1035.0,1011,0,6.8,0.0,152.0,0.0,30.0,22.0
2025-01-24 22:03:00,20.8,32.0,88.9,24.6,1035.0,1012,0,6.9,0.0,152.0,0.0,30.0,22.0
2025-01-24 22:04:00,24.0,32.0,80.0,46.0,1035.0,1012,0,7.0,100.0,198.7,87.3,98.0,22.0
2025-02-04 14:06:00,27.5,32.0,70.0,67.5,1035.0,586,0,7.0,200.0,245.3,174.7,166.0,14.0
2025-02-04 14:12:00,31.0,32.0,60.0,89.0,1035.0,586,0,7.0,300.0,292.0,262.0,234.0,14.0
2025-02-04 14:14:00,31.0,32.0,60.0,89.0,1035.0,586,0,7.0,300.0,292.0,262.0,234.0,14.0
2025-02-04 14:15:00,30.5,30.9,61.8,73.7,1029.0,586,0,5.9,246.7,194.7,184.0,162.7,14.0
2025-02-24 12:48:00,30.0,29.8,63.7,58.5,1023.0,9890,1,4.7,193.3,97.3,106.0,91.3,0.2
2025-02-24 12:49:00,29.2,28.7,65.9,43.1,1017.0,9890,1,3.6,140.0,0.0,28.0,20.0,0.2
2025-02-24 13:48:00,28.5,28.7,69.8,42.9,1016.7,7626,1,3.6,140.0,0.0,28.0,20.0,0.2
2025-02-24 14:48:00,27.8,28.7,73.8,42.7,1016.3,3090,1,3.6,140.0,0.0,28.0,20.0,0.0
2025-02-24 14:49:00,27.5,28.7,77.4,42.7,1016.0,3090,1,3.6,140.0,0.0,28.0,20.0,0.0
2025-02-24 15:48:00,27.4,28.7,76.1,42.6,1016.0,7826,1,3.6,140.0,0.0,28.0,20.0,0.0
2025-02-24 16:48:00,26.7,28.6,79.4,42.4,1016.0,2946,1,3.5,140.0,0.0,27.3,19.3,0.0
2025-02-24 17:48:00,25.6,28.5,84.4,42.3,1016.0,650,1,3.5,140.0,0.0,27.3,19.3,0.0
2025-02-24 18:48:00,24.8,28.4,90.7,42.3,1016.0,0,1,3.5,140.0,0.0,27.3,19.3,0.0
2025-02-24 18:49:00,24.5,28.3,92.4,42.4,1016.0,0,1,3.5,140.0,0.0,28.0,20.0,0.0
2025-02-24 18:50:00,24.5,28.2,91.0,42.5,1016.3,0,1,3.5,140.0,0.0,28.0,20.0,0.0
2025-02-24 19:49:00,24.4,28.1,89.1,42.4,1017.0,13,1,3.5,140.0,0.0,28.0,20.0,1.0
2025-02-24 20:48:00,24.2,27.9,87.3,42.4,1018.0,0,1,3.4,140.0,0.0,27.3,19.3,0.0
2025-02-24 21:49:00,23.9,27.8,87.2,42.4,1018.7,0,1,3.3,140.0,0.0,26.7,18.7,0.0
2025-02-24 22:48:00,23.6,27.6,88.3,42.3,1019.0,0,1,3.3,140.0,0.0,26.0,18.0,0.0
2025-02-24 23:49:00,23.3,27.4,89.4,42.2,1018.7,0,1,3.3,140.0,0.0,26.0,18.0,0.0
2025-02-25 00:48:00,23.2,27.3,90.3,42.0,1018.3,0,1,3.3,140.0,0.0,26.0,18.0,0.0
2025-02-25 00:49:00,23.1,27.2,90.6,42.1,1018.0,0,1,3.3,140.0,0.0,26.0,18.0,0.0
2025-02-25 01:49:00,25.9,27.4,79.8,42.2,1018.0,0,1,3.4,140.0,0.0,26.0,18.0,0.0
2025-02-25 12:44:00,27.5,27.7,71.8,42.2,1017.7,18640,1,3.6,140.0,0.0,26.0,18.0,0.6
2025-02-25 13:44:00,29.2,28.1,63.6,42.1,1017.3,9350,1,3.7,140.0,0.0,26.0,18.0,0.6
2025-02-25 13:45:00,27.6,28.2,68.0,42.0,1017.0,9350,1,3.8,140.0,0.0,26.0,18.0,0.6
2025-02-25 14:44:00,27.2,28.1,69.3,42.0,1016.7,5473,1,3.9,140.0,0.0,26.0,18.0,0.0
2025-02-25 15:44:00,26.5,27.9,71.1,42.0,1016.3,6850,1,4.0,140.0,0.0,26.0,18.0,0.0
2025-02-25 16:44:00,26.1,27.7,70.4,41.9,1016.3,3280,1,4.0,140.0,0.0,26.0,18.0,0.6
2025-02-25 17:44:00,25.7,27.6,70.1,41.9,1016.7,500,1,4.0,140.0,0.0,26.0,18.0,0.0
2025-02-25 17:45:00,25.5,27.5,69.4,41.9,1017.0,500,1,4.0,140.0,0.0,26.0,18.0,0.0
2025-02-25 17:46:00,25.3,27.5,72.0,41.9,1017.0,500,1,4.0,140.0,0.0,26.0,18.0,0.0
2025-02-25 18:44:00,24.9,27.4,75.7,42.0,1017.3,0,1,4.0,140.0,0.0,26.0,18.0,0.0
2025-02-25 19:44:00,24.3,27.2,80.4,41.8,1018.0,0,1,4.0,140.0,0.0,26.0,18.0,0.8
2025-02-25 20:44:00,24.0,27.1,82.5,41.7,1018.7,10,1,3.9,140.0,0.0,26.0,18.0,0.8
2025-02-25 20:45:00,23.6,26.9,84.4,41.6,1019.3,10,1,3.9,140.0,0.0,26.0,18.0,0.8
2025-02-25 21:44:00,23.5,26.9,85.2,41.7,1019.7,0,1,3.9,140.0,0.0,26.0,18.0,0.0
2025-02-25 21:45:00,23.2,26.8,86.3,41.8,1020.0,0,1,3.9,140.0,0.0,26.0,18.0,0.0
2025-02-25 22:44:00,23.0,26.6,86.7,41.9,1020.0,0,1,3.9,140.0,0.0,26.0,18.0,0.0
2025-02-25 23:44:00,22.8,26.5,87.4,41.7,1019.7,6,1,4.0,140.0,0.0,25.3,17.3,0.0
2025-02-26 00:44:00,22.6,26.3,87.8,41.6,1019.0,0,1,4.0,140.0,0.0,24.7,16.7,0.0
2025-02-26 01:44:00,22.5,26.2,88.0,41.4,1018.3,0,1,4.0,140.0,0.0,24.0,16.0,0.0
2025-02-26 01:45:00,22.4,26.2,87.9,41.5,1018.0,0,1,4.0,140.0,0.0,24.0,16.0,0.0
2025-02-26 01:46:00,22.4,26.1,87.9,41.7,1018.0,0,1,4.0,140.0,0.0,24.0,16.0,0.0
2025-02-26 02:44:00,22.3,26.1,88.0,42.0,1018.0,0,1,4.0,140.0,0.0,24.0,16.0,0.0
2025-02-26 02:45:00,22.1,26.0,88.6,41.9,1017.7,0,1,4.0,140.0,0.0,24.0,16.0,0.0
2025-02-26 03:44:00,21.9,25.9,89.1,41.6,1017.3,0,1,4.0,140.0,0.0,24.0,16.0,0.0
2025-02-26 04:44:00,21.7,25.9,89.6,41.3,1017.0,0,1,4.0,140.0,0.0,24.0,16.0,0.0
2025-02-26 04:45:00,21.5,25.7,90.0,41.4,1017.3,0,1,4.0,140.0,0.0,24.0,16.0,0.0
2025-02-26 05:44:00,21.2,25.6,90.9,41.4,1018.0,0,1,3.9,140.0,0.0,24.0,16.0,0.0
2025-02-26 06:44:00,21.4,25.5,90.3,41.4,1018.7,290,1,3.9,140.0,0.0,24.0,16.0,0.0
2025-02-26 07:44:00,23.2,25.5,85.4,41.2,1019.3,1996,1,3.8,140.0,0.0,24.0,16.0,0.0
2025-02-26 08:44:00,25.6,25.5,77.4,41.4,1019.7,15023,1,3.8,140.0,0.0,24.0,16.0,0.4
2025-02-26 09:44:00,28.0,25.8,68.9,41.6,1020.0,10310,1,3.9,140.0,0.0,24.0,16.0,0.0
2025-02-26 10:44:00,29.0,26.2,64.8,41.8,1019.3,19200,1,4.0,140.0,0.0,24.0,16.0,0.9
2025-02-26 11:44:00,30.2,26.6,61.4,41.6,1018.7,17206,1,4.1,140.0,0.0,24.0,16.0,1.1
2025-02-26 12:44:00,31.6,27.1,58.9,41.6,1017.3,21993,1,4.2,140.0,0.0,24.0,16.0,0.0
2025-02-26 13:44:00,33.6,27.7,53.2,41.4,1016.3,38230,1,4.3,140.0,0.0,24.7,16.7,0.2
2025-02-26 14:44:00,33.6,28.2,53.2,41.6,1015.0,21736,1,4.4,140.0,0.0,25.3,17.3,0.3
2025-02-26 15:44:00,30.6,28.1,62.5,41.2,1015.0,13146,1,4.2,140.0,0.0,25.3,17.3,0.4
2025-02-26 22:44:00,27.1,27.8,74.5,41.0,1015.3,0,1,4.1,140.0,0.0,24.7,16.7,0.0
2025-02-26 22:45:00,25.9,28.9,75.1,56.8,1022.3,0,1,4.9,193.3,97.3,103.3,88.7,0.0
2025-02-28 11:38:00,29.8,29.8,64.0,60.1,1021.3,586,0,5.1,200.0,97.3,107.3,93.3,14.0
2025-02-28 12:44:00,34.1,30.8,53.3,62.8,1020.0,17263,1,5.5,206.7,97.3,110.0,96.0,0.5
2025-02-28 13:44:00,37.2,30.4,50.1,48.3,1012.0,51406,1,4.7,160.0,0.0,33.3,26.0,0.0
2025-02-28 14:44:00,36.4,30.6,52.3,46.3,1011.0,26896,1,4.8,160.0,0.0,32.0,24.0,0.1
2025-02-28 15:44:00,34.8,30.8,55.5,44.8,1010.3,9526,1,4.7,160.0,0.0,31.3,23.3,0.0
2025-02-28 16:44:00,33.4,30.8,58.6,44.2,1010.0,5736,1,4.7,160.0,0.0,30.7,22.7,0.6
2025-02-28 16:45:00,32.1,30.7,60.9,43.8,1010.0,5736,1,4.7,160.0,0.0,30.0,22.0,0.6
2025-02-28 17:44:00,30.8,30.5,64.0,43.6,1010.3,1790,1,4.6,153.3,0.0,30.0,22.0,0.8
2025-02-28 18:44:00,29.3,30.1,69.5,43.3,1011.0,30,1,4.4,146.7,0.0,29.3,21.3,0.0
2025-02-28 19:44:00,28.5,29.8,74.6,43.1,1011.7,0,1,4.3,140.0,0.0,28.7,20.7,0.2
2025-02-28 20:44:00,28.1,29.5,78.7,42.9,1012.3,0,1,4.3,140.0,0.0,28.0,20.0,0.0
2025-02-28 21:44:00,27.9,29.2,80.7,42.8,1012.7,10,1,4.3,140.0,0.0,28.0,20.0,0.0
2025-02-28 22:44:00,27.5,29.0,83.1,42.6,1013.0,0,1,4.3,140.0,0.0,28.0,20.0,0.0
2025-02-28 23:44:00,27.3,28.9,84.6,42.5,1012.7,0,1,4.3,140.0,0.0,28.0,20.0,0.0
2025-03-01 00:44:00,27.0,28.7,86.6,42.4,1012.3,6,1,4.3,140.0,0.0,28.0,20.0,0.5
2025-03-01 01:46:00,26.9,28.6,87.6,42.5,1012.0,0,1,4.3,140.0,0.0,28.0,20.0,0.0
2025-03-01 01:46:00,26.8,28.6,88.5,42.4,1012.0,0,1,4.3,140.0,0.0,28.0,20.0,0.0
2025-03-01 01:47:00,26.6,28.6,89.4,42.3,1012.0,0,1,4.3,140.0,0.0,28.0,20.0,0.0
2025-03-01 02:46:00,26.5,28.5,90.2,42.1,1012.0,0,1,4.2,140.0,0.0,28.0,20.0,0.0
2025-03-01 03:46:00,26.3,28.4,91.0,42.0,1012.0,0,1,4.2,140.0,0.0,28.0,20.0,0.0
2025-03-01 03:46:00,26.4,28.4,90.2,42.1,1012.0,0,1,4.2,140.0,0.0,28.0,20.0,0.0
2025-03-01 04:46:00,26.5,28.3,89.7,42.3,1012.0,6,1,4.2,140.0,0.0,27.3,19.3,0.2
2025-03-01 05:46:00,26.6,28.2,89.2,42.5,1012.0,0,1,4.2,140.0,0.0,26.7,18.7,0.1
2025-03-01 05:46:00,26.6,28.2,89.3,42.5,1012.3,0,1,4.2,140.0,0.0,26.0,18.0,0.1
2025-03-01 06:46:00,26.7,28.1,89.3,42.3,1012.7,366,1,4.1,140.0,0.0,26.0,18.0,0.0
2025-03-01 06:47:00,27.1,28.1,88.1,42.2,1013.0,366,1,4.1,140.0,0.0,26.0,18.0,0.0
2025-03-01 07:46:00,28.5,28.1,82.9,42.2,1013.3,2593,1,4.2,140.0,0.0,26.0,18.0,0.0
