TimeStamp,อุณหภูมิ_c,อุณหภูมิดิน_c,ความชื้น_เปอร์เซ็นต์,ความชื้นดิน_เปอร์เซ็นต์,แรงดัน_hPa,ความเข้มแสง_lux,ลูกลอย,PH,ความเค็ม_เปอร์เซ็นต์,ไนโตรเจน_เปอร์เซ็นต์,ฟอสฟอรัส_เปอร์เซ็นต์,โพแทสเซียม_เปอร์เซ็นต์,ความเร็วลม_กิโลเมตรต่อชั่วโมง
2025-01-22 19:31:00,36.8,28.2,50.8,67.8,1035.0,586,0,6.0,280.0,154.0,174.0,156.0,14.0
2025-01-24 13:41:00,35.7,26.9,47.5,61.0,1035.0,11303,1,5.6,273.3,108.7,144.7,130.0,0.0
2025-01-24 13:45:00,33.9,24.3,41.3,47.4,1035.0,13053,1,4.9,266.7,17.3,86.7,79.3,0.2
2025-01-24 13:51:00,34.3,24.3,41.2,48.1,1035.0,12003,1,4.8,273.3,18.0,87.3,80.7,0.3
2025-01-24 13:52:00,34.5,24.3,39.9,48.9,1035.0,12003,1,4.8,280.0,18.7,90.0,83.3,0.3
2025-01-24 14:51:00,33.6,24.5,41.6,49.1,1035.0,7773,1,4.7,280.0,19.3,92.0,84.7,0.6
2025-01-24 16:51:00,32.6,24.6,43.3,49.3,1035.0,2813,1,4.6,280.0,20.0,94.0,86.0,0.0
2025-01-24 16:52:00,29.5,24.6,53.3,48.9,1035.0,2813,1,4.5,280.0,20.0,92.7,84.7,0.0
2025-01-24 18:52:00,26.5,24.3,64.2,48.5,1035.0,0,1,4.5,280.0,19.3,90.7,83.3,0.0
2025-01-24 19:51:00,23.2,24.0,76.9,48.2,1035.0,0,1,4.4,273.3,18.7,88.0,80.7,0.0
2025-01-24 20:51:00,21.7,23.6,84.8,48.1,1035.0,0,1,4.3,266.7,17.3,86.0,79.3,0.0
2025-01-24 21:51:00,20.9,23.4,88.6,48.1,1035.0,0,1,4.3,260.0,16.7,84.7,78.0,0.0
2025-01-24 21:52:00,27.0,26.2,80.5,61.6,1035.0,0,1,5.2,273.3,108.0,143.3,130.0,0.0
2025-01-29 12:00:00,30.5,29.1,70.2,75.3,1035.0,586,0,6.2,286.7,200.0,202.7,182.0,14.0
2025-02-04 14:05:00,34.0,32.0,60.0,89.0,1035.0,586,0,7.3,300.0,292.0,262.0,234.0,14.0
2025-02-04 14:13:00,31.0,32.0,60.0,89.0,1035.0,586,0,7.4,300.0,292.0,262.0,234.0,14.0
2025-02-04 14:14:00,31.0,32.0,60.0,89.0,1035.0,586,0,7.4,300.0,292.0,262.0,234.0,14.0
2025-02-04 14:15:00,31.0,32.0,60.0,89.0,1035.0,586,0,7.4,300.0,292.0,262.0,234.0,14.0
2025-03-02 16:32:00,31.0,32.0,62.0,77.9,1035.0,586,0,7.4,300.0,292.0,262.0,234.0,14.0
2025-05-24 15:16:00,31.0,32.0,60.5,48.2,1035.0,54612,1,7.4,300.0,292.0,262.0,234.0,2.5
2025-05-26 11:04:00,31.0,32.0,57.4,18.6,1035.0,54612,1,7.4,300.0,292.0,262.0,234.0,0.1
2025-05-26 11:28:00,31.0,32.0,35.4,0.0,1035.0,54612,1,7.4,300.0,292.0,262.0,234.0,0.0
2025-05-26 18:16:00,31.0,32.0,34.4,0.0,1035.0,54612,1,7.4,300.0,292.0,262.0,234.0,0.0
2025-06-12 19:13:00,31.0,32.0,35.2,0.0,1035.0,54612,1,7.4,300.0,292.0,262.0,234.0,0.0
2025-06-12 19:27:00,28.8,28.9,51.1,4.7,1035.0,54612,1,7.9,255.3,194.7,187.0,165.7,2432.0
2025-06-18 17:11:00,26.5,25.8,49.3,9.0,1035.0,96,1,8.5,210.7,97.3,112.0,97.3,0.0
2025-06-18 17:18:00,24.2,22.7,47.4,13.3,1035.0,90,1,9.0,166.0,0.0,37.0,29.0,0.0
2025-06-18 17:18:00,24.2,22.7,47.1,13.0,1035.0,90,1,9.0,166.0,0.0,37.0,29.0,0.0
2025-06-18 17:22:00,24.1,22.7,46.8,14.4,1035.0,100,1,9.0,165.7,0.0,36.7,29.0,0.0
2025-06-18 17:31:00,27.2,26.2,51.9,11.0,1035.0,86,1,8.2,110.3,0.0,24.3,19.3,0.0
2025-06-25 12:25:00,30.3,29.8,57.7,7.3,1035.0,866,1,7.3,55.0,0.0,12.0,9.7,0.0
2025-06-25 12:29:00,33.4,33.4,63.4,2.6,1035.0,870,1,6.5,0.0,0.0,0.0,0.0,0.0
2025-06-25 12:30:00,33.4,33.4,63.8,2.7,1035.0,863,1,6.5,0.0,0.0,0.0,0.0,0.0
