TimeStamp,อุณหภูมิ_c,อุณหภูมิดิน_c,ความชื้น_เปอร์เซ็นต์,ความชื้นดิน_เปอร์เซ็นต์,แรงดัน_hPa,ความเข้มแสง_lux,ลูกลอย,PH,ความเค็ม_เปอร์เซ็นต์,ไนโตรเจน_เปอร์เซ็นต์,ฟอสฟอรัส_เปอร์เซ็นต์,โพแทสเซียม_เปอร์เซ็นต์,ความเร็วลม_กิโลเมตรต่อชั่วโมง
2025-01-22 19:35:00,34.0,32.0,55.0,89.0,1035.0,586,0,7.2,1.5,14.6,13.1,11.7,14.0
2025-01-26 18:41:00,33.0,32.0,56.7,89.0,1035.0,586,0,7.3,1.5,14.6,13.1,11.7,14.0
2025-01-26 18:43:00,31.0,32.0,60.0,89.0,1035.0,586,0,7.4,1.5,14.6,13.1,11.7,14.0
2025-01-29 12:02:00,29.1,29.4,56.8,59.3,1035.0,586,0,5.9,1.0,9.7,8.7,7.8,14.0
2025-02-04 12:56:00,27.1,26.9,53.5,29.7,1035.0,426,1,4.5,0.5,4.9,4.4,3.9,0.0
2025-02-04 12:57:00,25.1,24.2,50.7,0.0,1034.9,426,0,3.0,0.0,0.0,0.0,0.0,0.0
2025-02-04 13:01:00,25.0,24.2,50.5,0.0,1034.8,433,1,3.0,0.0,0.0,0.0,0.0,0.1
2025-02-04 14:01:00,25.1,24.4,49.2,0.0,1034.7,593,1,3.0,0.0,0.0,0.0,0.0,0.0
2025-02-04 15:01:00,25.2,24.4,46.4,0.0,1034.5,373,1,3.0,0.0,0.0,0.0,0.0,0.0
2025-02-04 17:09:00,25.7,24.8,45.0,0.0,1034.3,336,1,3.0,0.0,0.0,0.0,0.0,0.0
2025-02-04 18:09:00,26.3,25.3,43.8,0.0,1034.1,0,1,3.0,0.0,0.0,0.0,0.0,0.0
2025-02-04 19:09:00,27.2,26.0,44.0,0.0,1033.9,0,1,3.0,0.0,0.0,0.0,0.0,0.0
2025-02-04 20:09:00,27.7,26.5,43.4,0.0,1033.6,0,1,3.0,0.0,0.0,0.0,0.0,0.0
2025-02-04 20:11:00,27.8,26.7,44.0,0.0,1033.3,0,1,3.0,0.0,0.0,0.0,0.0,0.0
2025-02-04 21:11:00,27.9,26.8,44.8,0.0,1033.1,0,1,3.0,0.0,0.0,0.0,0.0,0.0
2025-02-04 22:11:00,27.9,26.9,45.6,0.0,1032.8,0,1,3.0,0.0,0.0,0.0,0.0,0.0
2025-02-04 22:12:00,28.0,26.9,48.0,0.0,1032.5,0,1,3.0,0.0,0.0,0.0,0.0,0.0
