TimeStamp,อุณหภูมิ_c,อุณหภูมิดิน_c,ความชื้น_เปอร์เซ็นต์,ความชื้นดิน_เปอร์เซ็นต์,แรงดัน_hPa,ความเข้มแสง_lux,ลูกลอย,PH,ความเค็ม_เปอร์เซ็นต์,ไนโตรเจน_เปอร์เซ็นต์,ฟอสฟอรัส_เปอร์เซ็นต์,โพแทสเซียม_เปอร์เซ็นต์,ความเร็วลม_กิโลเมตรต่อชั่วโมง
2025-02-03 13:18:00,24.4,23.8,42.8,15.4,2267.4,54612,1,4.8,190.0,21.0,71.0,68.0,0.0
2025-02-03 14:18:00,23.5,23.2,44.4,17.3,2041.6,54612,1,4.9,253.3,28.0,95.3,90.7,0.0
2025-02-03 15:29:00,24.0,27.6,47.1,22.9,1632.9,54612,1,4.6,273.3,75.0,140.0,138.0,0.0
2025-02-04 00:28:00,24.9,32.4,49.5,20.2,1353.1,54612,1,4.6,406.7,125.0,137.3,435.7,4939.2
2025-02-04 01:29:00,26.5,36.8,50.9,17.5,1177.6,54612,1,4.7,540.0,175.0,136.7,733.3,11.7
2025-02-04 01:29:00,27.0,35.1,51.9,26.0,1081.9,54612,1,5.6,593.3,254.0,111.3,699.3,11.7
2025-02-04 03:29:00,27.4,33.4,52.6,51.2,1041.6,54612,1,6.4,433.3,287.3,154.0,434.3,3814.7
2025-02-05 13:02:00,30.7,32.3,51.9,76.4,1032.1,586,0,6.8,273.3,320.3,194.0,169.3,14.0
2025-02-05 13:09:00,29.5,28.8,48.9,65.6,1033.0,586,0,6.8,253.3,194.3,184.7,163.3,14.0
2025-02-06 14:38:00,27.9,25.7,46.1,42.2,1033.3,54612,1,6.6,206.7,97.0,107.3,92.7,0.0
2025-02-06 14:46:00,23.4,22.5,43.9,18.7,1030.5,54612,1,6.4,160.0,0.0,30.0,22.0,0.0
2025-02-06 14:50:00,23.7,23.0,45.9,17.3,1026.6,54612,1,5.9,133.3,0.0,20.0,14.7,0.0
2025-02-07 11:19:00,24.3,23.4,45.4,16.0,1022.0,54612,1,5.7,113.3,0.0,11.3,7.3,0.0
2025-02-07 13:18:00,25.0,24.2,43.9,13.7,1017.4,54612,1,5.6,66.7,0.0,1.3,0.0,0.0
2025-02-11 16:24:00,25.8,24.6,40.5,13.0,1013.5,54612,1,6.0,46.7,0.0,1.3,0.0,0.0
2025-02-11 17:23:00,25.7,25.0,41.1,9.7,1010.7,54612,1,7.0,13.3,0.0,0.0,0.0,0.0
2025-02-17 16:18:00,25.7,24.6,43.8,36.2,1009.4,54612,1,7.1,1393.3,276.0,652.7,655.0,0.2
2025-02-17 17:17:00,24.7,24.0,45.9,62.5,1009.0,54612,1,7.0,2720.0,542.0,1282.3,1286.7,0.0
2025-02-17 17:31:00,24.5,23.6,46.3,91.2,1009.0,54612,1,5.9,4053.3,808.0,1912.0,1918.3,0.0
2025-02-17 17:32:00,24.1,23.6,45.9,91.2,1009.0,54612,1,5.7,4000.0,798.0,1889.0,1895.0,0.0
