TimeStamp,อุณหภูมิ_c,อุณหภูมิดิน_c,ความชื้น_เปอร์เซ็นต์,ความชื้นดิน_เปอร์เซ็นต์,แรงดัน_hPa,ความเข้มแสง_lux,ลูกลอย,PH,ความเค็ม_เปอร์เซ็นต์,ไนโตรเจน_เปอร์เซ็นต์,ฟอสฟอรัส_เปอร์เซ็นต์,โพแทสเซียม_เปอร์เซ็นต์,ความเร็วลม_กิโลเมตรต่อชั่วโมง
2025-01-22 19:35:00,42.0,32.0,65.0,89.0,1030.0,586,0,7.0,300.0,292.0,262.0,234.0,14.0
2025-01-22 19:36:00,42.0,32.0,65.0,89.0,1030.0,586,0,7.0,300.0,292.0,262.0,234.0,14.0
2025-01-22 19:48:00,42.0,32.0,65.0,89.0,1030.0,586,0,7.0,300.0,292.0,262.0,234.0,14.0
2025-01-29 11:59:00,38.3,32.0,63.3,89.0,1031.7,586,0,7.0,300.0,292.0,262.0,234.0,14.0
2025-03-29 12:00:00,38.3,32.0,57.8,59.3,1035.0,586,0,7.0,300.0,292.0,262.0,234.0,14.0
2025-06-12 16:01:00,34.7,32.0,52.4,29.7,1035.0,54612,1,7.0,300.0,292.0,262.0,234.0,6220.8
2025-06-12 16:10:00,38.3,32.0,49.3,0.0,1020.0,54612,1,7.0,300.0,292.0,262.0,234.0,0.0
2025-06-12 17:28:00,34.7,32.0,50.1,0.0,975.0,54612,1,7.0,300.0,292.0,262.0,234.0,1817.6
2025-06-12 17:33:00,38.3,32.0,51.9,0.0,885.0,54612,1,7.0,300.0,292.0,262.0,234.0,0.0
2025-06-12 17:54:00,34.7,32.0,52.8,0.0,735.0,54612,1,7.0,300.0,292.0,262.0,234.0,0.0
2025-06-12 17:57:00,38.3,32.0,53.7,0.0,510.0,54612,1,7.0,300.0,292.0,262.0,234.0,0.0
2025-06-12 18:07:00,34.7,32.0,51.6,0.0,195.0,54612,1,7.0,300.0,292.0,262.0,234.0,0.0
2025-06-13 16:24:00,38.3,32.0,49.4,0.0,-225.0,54612,1,7.0,300.0,292.0,262.0,234.0,0.0
2025-06-13 18:26:00,32.3,28.9,47.1,4.2,-765.0,54612,1,7.7,255.0,194.7,186.7,165.7,0.0
2025-06-18 17:35:00,30.0,25.9,46.7,8.3,-1440.0,86,1,8.3,210.0,97.3,111.3,97.3,0.0
2025-06-18 17:35:00,24.0,22.7,47.2,13.1,-2265.0,86,1,9.0,164.3,0.0,35.7,28.7,0.0
2025-06-18 18:35:00,23.9,22.6,48.2,14.8,-3255.0,180,1,9.0,162.7,0.0,35.0,27.7,0.0
2025-06-18 19:35:00,24.8,22.9,48.3,16.1,-4425.0,86,1,9.0,161.7,0.0,34.7,27.0,0.0
2025-06-18 20:35:00,25.8,23.7,47.8,15.3,-5790.0,0,1,9.0,161.7,0.0,34.7,27.0,0.0
2025-06-18 21:34:00,27.2,24.8,48.3,13.8,-7365.0,0,1,9.0,162.0,0.0,34.7,27.3,0.0
2025-06-18 23:34:00,27.5,25.4,50.2,13.1,-9165.0,0,1,9.0,161.3,0.0,34.3,27.0,0.0
2025-06-19 00:35:00,27.7,25.8,52.5,14.4,-11205.0,0,1,9.0,160.0,0.0,33.7,26.3,0.0
2025-06-19 01:35:00,27.8,26.0,54.7,14.9,-13500.0,0,1,9.0,157.7,0.0,32.7,25.0,0.0
2025-06-19 05:35:00,27.9,26.2,56.5,14.2,-16065.0,0,1,9.0,155.3,0.0,31.7,24.0,0.0
2025-06-19 06:35:00,28.0,26.4,58.1,14.4,-18915.0,3,1,9.0,152.7,0.0,30.7,22.7,0.0
2025-06-19 07:35:00,28.1,26.5,58.6,13.6,-22065.0,26,1,9.0,151.3,0.0,30.0,22.0,0.0
2025-06-19 08:35:00,28.3,26.6,59.0,13.7,-25530.0,70,1,9.0,150.0,0.0,29.3,21.3,0.0
